Date,Hardware Identifier,What Failed,Description of Failure,Action Taken
11/29/2003 7:00,node 13,DISK,I/O error on Drive SDG,REPLACE
11/29/2003 7:00,node 25,DISK,I/O error on Drive sdf ,REPLACE
11/29/2003 7:00,node 30,DISK,I/O error on Drive sdb and sdc,REPLACE
11/29/2003 7:00,node 63,DISK,I/O error on Drive sdh,REPLACE
11/29/2003 7:00,node 106,DIMM,CMC Error ,NONE
11/29/2003 8:00,node 380,DISK,I/O error on Drive sdf ,REPLACE
11/29/2003 8:00,node 395,DISK,I/O error on Drive sdb ,REPLACE
11/29/2003 8:30,node 402,DIMM,CMC Error ,NONE
11/29/2003 8:30,node 445,DISK,I/O error on Drive sdc ,REPLACE
11/29/2003 8:30,node 470,DISK,I/O on Drive sdh,REPLACE
11/29/2003 8:30,node 493,DISK,I/O error on Drive sdg,REPLACE
11/29/2003 9:00,node 521,UNKNOWN,CMC Error ,NONE
11/29/2003 9:30,node 526,DIMM,CMC Error ,REPLACE
11/29/2003 10:00,node 584,UNKNOWN,CMC Error ,NONE
11/29/2003 10:00,node 882,DISK,I/O error on Drive sda ,REPLACE
11/29/2003 10:30,node 893,DISK,I/O error on Drive sda,REPLACE
11/29/2003 11:00,node 904,DISK,I/O error on Drive sda,REPLACE
11/29/2003 11:00,node 924,DISK,I/O error in Drive sda,REPLACE
11/29/2003 11:30,node 928,DISK,I/O error on Drive sdb,REPLACE
11/30/2003 7:00,node 129,DISK,I/O error on Drive sdg ,REPLACE
11/30/2003 7:00,node 394,DISK,I/O error on Drive sdi ,REPLACE
11/30/2003 7:00,node 423,DISK,I/O error on Drive sdi,REPLACE
11/30/2003 7:00,node 432,DISK,I/O error on Drive sdd ,REPLACE
11/30/2003 7:00,node 434,OS,problem in XFS file system ,REBOOT
12/1/2003 7:00,node 461,DISK,I/O err - err on sdi ,REPLACE
12/1/2003 7:00,node 475,DISK,I/O err - err on sdg ,REPLACE
12/1/2003 7:00,node 521,DISK,I/O err - err on sdc ,REPLACE
12/1/2003 7:00,node 532,UNKNOWN,CMC error,NONE
12/1/2003 7:00,node 569,UNKNOWN,CMC Error ,NONE
12/1/2003 7:00,node 604,ELAN3,possible bad elan error ,REPLACE
12/1/2003 7:00,node 754,UNKNOWN,CMC Error (part of the ELAN 4 test group),NONE
12/1/2003 7:00,node 875,DISK,I/O err - err on sda ,REPLACE
12/1/2003 7:00,node 877,DISK,I/O err - err on sda ,REPLACE
12/1/2003 7:00,node 879,DISK,I/O err - err on sdb ,REPLACE
12/2/2003 4:00,node 870,DISK,I/O err - drive sda,REPLACE
12/2/2003 15:00,dtemp storage 05,HSV,73gig Drive Failue,REPLACE
12/2/2003 15:00,dtemp storage 07,HSV,73gig Drive failurw,REPLACE
12/3/2003 13:00,node 321,CPU,CMC Error ,REPLACE
12/3/2003 7:00,node 872,DISK,I/O error on Drive sdb,REPLACE
12/3/2003 7:00,node 30,DISK,I/O error on Drive sdb ,REPLACE
12/3/2003 7:00,node 75,DIMM,CMC Error ,REPLACE
12/3/2003 7:00,node 521,CPU,Rebooted itself ,REPLACE
12/3/2003 7:00,node 712,DISK,I/O Error on Drive sda,REPLACE
12/4/2003 7:00,node 130,ELAN4,ELAN4 Error ,REPLACE
12/4/2003 9:00,node 0,DISK,I/O Error on Drive sdg,REPLACE
12/4/2003 9:00,node 3,DISK,I/O Error on Drive sdi,REPLACE
12/4/2003 9:00,node 27,DISK,I/O Error on Drive sdg,REPLACE
12/4/2003 9:00,node 279,DISK,I/O error on Drive sdb,REPLACE
12/4/2003 9:00,node 303,DIMM,CMC Error ,NONE
12/4/2003 9:00,node 456,DISK,I/O Error on Drive sdh ,REPLACE
12/4/2003 9:00,node 489,DISK,I/O error on Drive sdc,REPLACE
12/4/2003 9:00,node 537,DISK,I/O Error on Drive sdg ,REPLACE
12/4/2003 9:00,node 551,DISK,I/O Error on Drive sde,REPLACE
12/4/2003 9:00,node 764,DISK,I/O error on Drive sda ,REPLACE
12/5/2003 5:00,node 99,DISK,I/O error on Drive sde,REPLACE
